\ant-1.3,0.2926373626373625
\ant-1.4,0.3516102756892231
\ant-1.5,0.1830541871921182
\ant-1.6,0.39658881170509075
\ant-1.7,0.20441223379303874
\camel-1.0,0.06421186656480775
\camel-1.2,0.14178656126482214
\camel-1.4,0.10545479450597384
\camel-1.6,0.08972837499153288
\ivy-1.1,0.13571428571428573
\ivy-1.4,0.07466666666666666
\ivy-2.0,0.37896825396825395
\jedit-3.2,0.05
\jedit-4.0,0.030303030303030304
\jedit-4.1,0.073015873015873
\jedit-4.2,0.38264069264069256
\jedit-4.3,0.04048979591836734
\log4j-1.0,0.19
\log4j-1.1,0.5054945054945055
\log4j-1.2,0.2602586010480747
\lucene-2.0,0.25272727272727274
\lucene-2.2,0.16555555555555557
\lucene-2.4,0.1218025597590815
\pbeans-1.0,0.6466666666666667
\pbeans-2.0,0.2333333333333333
\poi-1.5,0.6709486814749973
\poi-2.0,0.22999999999999998
\poi-2.5,0.07890895821930306
\poi-3.0,0.10444895199459092
\synapse-1.0,0.3284313725490196
\synapse-1.1,0.1884920634920635
\synapse-1.2,0.19090909090909086
\velocity-1.4,0.8620508760689025
\velocity-1.5,0.12612745098039216
\velocity-1.6,0.08666666666666666
\xalan-2.4,0.1267791032496915
\xalan-2.5,0.08652555045635023
\xalan-2.6,0.18153891870209046
\xerces-1.2,0.08763038548752836
\xerces-1.3,0.2174603174603175
\xerces-init,0.19888888888888887
